Issue_ID,Title,Description,amb_f_T,amb_f_TD,inc_f_T,inc_f_TD,amb_d_T,amb_d_TD,inc_d_T,inc_d_TD,amb_a_T,amb_a_TD,inc_a_T,inc_a_TD,amb_s_T,amb_s_TD,inc_s_T,inc_s_TD,amb_sum_T,amb_sum_TD,inc_sum_T,inc_sum_TD,Final_amb_T,Final_amb_TD,Final_inc_T,Final_inc_TD
ISSUE-1859,Investigate deployed module context close upon container shutdown,"Upon the container shutdown, the deployed modules' contexts get closed before the corresponding `Stream/JobModuleWatcher` does the undeployment of the stream/job modules.",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
ISSUE-2486,Add XD deployment for YARN,"Add YARN specific code based on Janne's prototyping Add YARN Client and AppMaster implementations and startup config files This includes shell scripts to deploy XD to YARN Test working on Apache 2.2 distribution We can modify config files, everything should be possible to override by providing command-line args or env variables. ./xd-yarn-deploy --zipFile /tmp/spring-xd-yarn.zip --config /tmp/spring-xd-yarn.yml",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0
ISSUE-1473,Document Kafka message bus,"As a user, I'd like to refer to documentation in wiki so that I can setup and configure Kafka as a message bus as recommended.",0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,2,0,1,0,1,0
ISSUE-1928,Module option validation not happening anymore,"It seems that no option validation (being Spring or jsr 303) is happening anymore at stream creation time. eg stream create foo --definition """"http --port=bar | log""""",0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,2,0,1,0,1,0
ISSUE-2209,Validate existence of batch job at the admin side,"Since the batch job repository is not intended to be deleted, it is possible to have a batch job that already exists in the batch job repo even if the batch job definition is destroyed in XD. When a new job definition is created, we need to add a validation for the same job definition name against the batch job repository. Currently, we will only see a failure when the job is actually deployed into the container (when the batch job repository is updated during the deployment).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISSUE-2118,Stream-lib - analytics operators,"We would like to experiment with “stream-lib”, a stream summarizer and cardinality (counting distinct elements) estimator to further enrich Spring XD's analytics feature-set. GitHub -> https://github.com/addthis/stream-lib",1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,2,0,4,0,1,0,1,0
ISSUE-1678,Preserve partition state on container restarts,"As a user, I'd like to retain the data partitioning state so that when I restart the containers, I continue to write based on the original partitioning strategy. Currently, the state is not preserved; hence, on restarts the definition of partitioning strategy is lost due to different _hashCode()_. *Design consideration:* Mine through the container info to derive the """"partition index"""" instead of relying on _hashCode()_.",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0
ISSUE-2005,Paging support for ModuleMetadata/Container repositories,Add paging support for the appropriate accessor methods in ModuleMetadata/Container repositories,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
ISSUE-0138,Upgrade to SHDP 2.2.1.GA,"As a developer, I'd like to upgrade to 2.2.1 GA release, so I can leverage the latest improvements without breaking backwards compatibility. SHDP 2.3.0 uses Boot 1.3 and HDP and CDH versions that drop older Hive support. To avoid breaking changes we should instead use SHDP 2.2.1 that has backported any improvements that we need as well as move Spring and Hadoop versions to more recent ones.",1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,2,0,1,0,1,0
ISSUE-1267,Add in-memory based Aggregate Field Value Counters,"As a user, I'd like to have a Redis based aggregation over field-value counters so that I can continuously write the aggregation in Redis as we ingest more data. *Scope:* * Port specs from [previous implementation|https://github.com/spring-projects/spring-xd/wiki/OLD---Aggregate-Field-Value-Counters]. * Identify gaps * Update reference documentation",1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,2,0,1,0,1,0
ISSUE-2220,Support Groovy bean definitions as XD extensions,Modify the PluginContextExtensionsInitializer to consume .groovy bean definitions as well as XML.,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,3,1,0,0,1,0
ISSUE-0982,Harmonize poller configuration,"See conversation at https://github.com/spring-projects/spring-xd/pull/1509 Several source modules leverage a poller, with `fixedDelay` being a common name for one of the options. There is actually PeriodicTriggerMixin available, which should be applied to all modules, to make sure configuration is harmonized. See https://github.com/spring-projects/spring-xd/pull/1384/files At the time of writing: grep -r '<poller' . --include='*.xml' | grep -v build ./modules/source/file/config/file.xml: <poller fixed-delay=""""$"""" time-unit=""""SECONDS""""/> ./modules/source/jdbc/config/jdbc.xml: <poller fixed-delay=""""$"""" time-unit=""""SECONDS""""> ./modules/source/mail/config/mail.xml: <poller fixed-delay=""""$"""" time-unit=""""SECONDS""""> ./modules/source/sftp/config/sftp.xml: <poller fixed-delay=""""$"""" time-unit=""""SECONDS"""" /> ./modules/source/time/config/time.xml: <poller trigger=""""fixedDelayTrigger"""" />",1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,2,0,4,0,1,0,1,0
ISSUE-3457,Retrieve information for an aggregate counter,"TODO as part of this (see XD-537): * Get rid of so-called Service layer in analytics project (doesn't do much right now, and logic would better live in the 'Handler' IMO) * Have REST controllers depend on XRepository in all cases",0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,2,0,0,0,1,0
ISSUE-0753,Spring XD admin fails to redeploy modules after Spring XD container successfully reconnectes to Zookeeper,"We are running Spring XD 1.1.1 in our production environment and Zookeeper 3.4.5. Zookeeper is running in failover mode and consists of three independent nodes set up on three separate VMs. From time to time we get """"Connection to Zookeeper Suspended"""" event which causes one of the containers in the cluster to be removed from the SpringXD cluster. Modules being deployed on this removed node fail to be re-deployed to other containers in the cluster. Affected versions: - SpringXD 1.1.1 - Zookeeper 3.4.5 and 3.4.6 Cluster set up in PROD environment where error occurs: - 4 Spring-XD dedicated servers - 4 spring-xd containers (each running on designated server ) - 2 spring-xd admins ( each running alongside one spring-xd container) - 3 Zookeeper nodes ( 3 designated servers on PAITO environment ) Cluster set up in TEST environment where error also occurred: - 2 Spring-XD dedicated servers running one spring-xd container and one spring-xd admin each - 3 Zookeeper nodes running on 3 dedicated servers (PAITO Test environment) Cluster set up to reproduce error found in PROD environment: - 1 spring-xd admin - 3 spring xd-containers (each running on a designated VM ) - 3 zookeeper servers running on one VM Steps to reproduce: 1) Set up three node Zookeeper cluster. Attached is example zoo.cfg, we are using default configuration values. In this particular test case we run all Zookeeper nodes on a single VM as we were not testing network layer interruptions. 2) Set up one Spring XD admin node. Please note that we have also observed this on two node Spring XD admin cluster. 3) Set up three Spring XD container nodes. All of them belong to one group (SA) and two of them also belong to second group (HA1). This is configured in $XD_HOME/config/servers.yml however so far group configuration never influenced test outcome. 4) Create and deploy a test stream using following XD Shell commands: stream create --name test-zookeeper-failover --definition """"syslog-udp --port=5140 | transform | file --dir='/opt/pivotal/spring-xd/xd/output'"""" stream deploy --name test-zookeeper-failover --properties """"module.syslog-udp.criteria=groups.contains('HA1'),module.syslog-udp.count=2,module.file.criteria=groups.contains('SA'),module.file.count=3,module.transform.criteria=groups.contains('SA')"""" 5) Ensure that test stream works and handles traffic on UDP port 5140 6) Shutdown one of the Zookeeper nodes by issuing a stop command. 7) Two Spring XD containers were not affected and remained in Spring XD cluster. 8) One Spring XD container was kicked out of Spring XD cluster and was no longer visible on Spring XD admin Web UI. Modules previously deployed to this container were not redeployed to other cluster members. 9) On the failed Spring XD container we have observed CONNECTION_SUSPEND, CONNECTION_RECONECTED and CHILD_REMOVE Zookeeper events (attached is container-log.txt). Please note that Java process is still running and we see “ConnectionStateManager-0 server.ContainerRegistrar - Waiting for supervisor to clean up prior deployments” messages. 10) Spring XD admin failed with exception in DepartingContainerModuleRedeployer (attached is admin-log.txt). 11) We have observed that departing container node in Zookeeper (/sa/deployments/modules/allocated/1d3fd4cc-5a70-47ed-b4f3-22deef1f4d4f/) had no children. We did this after few minutes so we are not sure at which point it was cleared. 12) Restarting failed Spring XD container fixed the problem, modules were correctly redeployed. Exception from point 10 is very similar to XD-1983 and this code was rewritten in XD-2004.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISSUE-1005,"Composite Modules should inherit """"xd.*"""" properties","Currently when modules are composed to a single application context, properties are not inherited. https://github.com/spring-projects/spring-xd/wiki/Modules#placeholders-available-to-all-modules",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0
ISSUE-0247,Move Kafka @Rule to a separate repo,"As an s-c-d developer, I'd like to move kafka } to a separate repo, so I can consume the test fixtures in different projects.",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
ISSUE-2390,Create RPM for distribution,Package SpringXD into an RPM install path = /opt/pivotal/spring-xd-1.0.0.M5 with symlink /opt/pivotal/spring-xd -> current version init.d scripts to start/stop/status service springxd-admin start|stop|status service springxd-container start|stop|status user/group = springxd/pivotal Host springxd rpm in Pivotal repo yum install springxd Support RHEL/CentOS version 5 and 6? (tested on latest updates) Support for 32 and 64 bits Support Java 1.6 and 1.7,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,2,1,3,0,1,0,1,0
ISSUE-3476,Add Spring/Integration MBean Exporters to Module ApplicationContexts,Global option? Override for individual modules? module types?,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,2,2,2,0,1,1,1
ISSUE-2808,Add documentation for gemfire cache-listener source,"Need some sample usage, docs for https://github.com/spring-projects/spring-xd/tree/master/modules/source/gemfire",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
ISSUE-2171,Add a 'rank' expression to be used by the container matcher,"following the HTCondor model for resource assignment, the use of a 'rank' expression that evaluates to an integer is used to order the containers that match the current 'criteria' expression. This allows you to setup ranks such as 'prefer the machine with the most free memory' or 'prefer a machine from groupa' (higher rank values match first). From HTCondor Presentation Rank * The rank expression is evaluated into a number for every potential matching machine. * A machine with a higher number will be preferred over a machine with a lower number. Rank Examples * Prefer machines with more Mips: ** Rank = Mips * Prefer more memory, but add 100 to the rank if the machine is Solaris 2.7: ** Rank = Memory + 100*(OpSys==“SOLARIS27)” * Prefer machines with a high ratio of memory to cpu performance: ** Rank = Memory/Mips * Prefer machines that will checkpoint in Bologna: ** Rank = (CkptServer==“ckpt.bo.infn.it”)",0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,1,0
ISSUE-0332,[Unit Tests] Enhance test coverage for YARN SPI,"As a s-c-d developer, I'd like to enhance unit test coverage for } SPI, so I can continuously evaluate functionalities via CI pipeline.",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
ISSUE-0424,Prevent external libraries from overriding uber-jar dependencies,"As a s-c-d developer, I'd like to enforce external libraries from overriding any existing library in the uber-jar.",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
ISSUE-0373,Remove hardcoded yarn app version jars,We currently use fixed paths like `spring-cloud-data-yarn/spring-cloud-data-yarn-appmaster/target/spring-cloud-data-yarn-appmaster-1.0.0.BUILD-SNAPSHOT.jar` in yml files. Need to make define version during a build and allow to override location of those files.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ISSUE-0586,Replace spring-xd-messagebus-* dependencies with SCS,XD 2.0 will not have direct dependency on the s-c-s Binder (as MB has been renamed). The message bus code is obsolete/orphaned in XD 2.0 but some is required to support current integration tests. We can look at pruning it some more but complete removal likely depends on integrating the s-c-s enabled Admin SPI. MB will remain in XD 1.x.,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0
ISSUE-1621,Create CompositeModuleRegistry,Currently there is no ModuleRegistry contract for composite modules. The composed module definition is maintained in ZooKeeperModuleDefinitionRepository which delegates to the ModuleRegistry to define and validate component modules. The repository should be converted to a ModuleRegistry.,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,1,0
ISSUE-0407,"Add """"module list"""" command","As a s-c-d developer, I'd like to have } shell command, so I can query and list all the modules supported within the }.",1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,2,1,3,0,1,0,1,0
ISSUE-0597,Remove XML REST Endpoints,The XML REST endpoints: * are not working correctly * interfere with security * are not used,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
ISSUE-0814,RemoteFileToHadoopTests fails on 1.1.x,This error surfaced recently as a result of a fix to a bug in HostNotWindowsRule which disabled this test in all environments. Now the test has been reactivated it is failing on the 1.1.x branch. The test runs OK on master. Encountered an error executing step step1-master in job job org.springframework.messaging.MessageDeliveryException: failed to send Message to channel 'null'; nested exception is java.lang.IllegalStateException: ThreadPoolTaskExecutor not initialized at org.springframework.integration.channel.AbstractMessageChannel.send(AbstractMessageChannel.java:292) at org.springframework.integration.channel.AbstractMessageChannel.send(AbstractMessageChannel.java:239) at org.springframework.xd.dirt.integration.bus.local.LocalMessageBus$3.handleMessage(LocalMessageBus.java:262) at org.springframework.integration.dispatcher.AbstractDispatcher.tryOptimizedDispatch(AbstractDispatcher.java:116) at org.springframework.integration.dispatcher.UnicastingDispatcher.doDispatch(UnicastingDispatcher.java:101) at org.springframework.integration.dispatcher.UnicastingDispatcher.dispatch(UnicastingDispatcher.java:97) at org.springframework.integration.channel.AbstractSubscribableChannel.doSend(AbstractSubscribableChannel.java:77) at org.springframework.integration.channel.AbstractMessageChannel.send(AbstractMessageChannel.java:277) at org.springframework.integration.channel.AbstractMessageChannel.send(AbstractMessageChannel.java:239) at org.springframework.messaging.core.GenericMessagingTemplate.doSend(GenericMessagingTemplate.java:115) at org.springframework.messaging.core.GenericMessagingTemplate.doSend(GenericMessagingTemplate.java:45) at org.springframework.messaging.core.AbstractMessageSendingTemplate.send(AbstractMessageSendingTemplate.java:95) at org.springframework.integration.handler.AbstractMessageProducingHandler.sendOutput(AbstractMessageProducingHandler.java:248) at org.springframework.integration.handler.AbstractMessageProducingHandler.produceOutput(AbstractMessageProducingHandler.java:171) at org.springframework.integration.handler.AbstractMessageProducingHandler.sendOutputs(AbstractMessageProducingHandler.java:119) at org.springframework.integration.handler.AbstractReplyProducingMessageHandler.handleMessageInternal(AbstractReplyProducingMessageHandler.java:105) at org.springframework.integration.handler.AbstractMessageHandler.handleMessage(AbstractMessageHandler.java:78) at org.springframework.integration.dispatcher.AbstractDispatcher.tryOptimizedDispatch(AbstractDispatcher.java:116) at org.springframework.integration.dispatcher.UnicastingDispatcher.doDispatch(UnicastingDispatcher.java:101) at org.springframework.integration.dispatcher.UnicastingDispatcher.dispatch(UnicastingDispatcher.java:97) at org.springframework.integration.channel.AbstractSubscribableChannel.doSend(AbstractSubscribableChannel.java:77) at org.springframework.integration.channel.AbstractMessageChannel.send(AbstractMessageChannel.java:277) at org.springframework.integration.channel.AbstractMessageChannel.send(AbstractMessageChannel.java:239) at org.springframework.messaging.core.GenericMessagingTemplate.doSend(GenericMessagingTemplate.java:115) at org.springframework.messaging.core.GenericMessagingTemplate.doSend(GenericMessagingTemplate.java:45) at org.springframework.messaging.core.AbstractMessageSendingTemplate.send(AbstractMessageSendingTemplate.java:95) at org.springframework.messaging.core.AbstractMessageSendingTemplate.send(AbstractMessageSendingTemplate.java:85) at org.springframework.batch.integration.partition.MessageChannelPartitionHandler.handle(MessageChannelPartitionHandler.java:224) at org.springframework.batch.core.partition.support.PartitionStep.doExecute(PartitionStep.java:106) at org.springframework.batch.core.step.AbstractStep.execute(AbstractStep.java:198) at org.springframework.batch.core.job.SimpleStepHandler.handleStep(SimpleStepHandler.java:148) at org.springframework.batch.core.job.flow.JobFlowExecutor.executeStep(JobFlowExecutor.java:64) at org.springframework.batch.core.job.flow.support.state.StepState.handle(StepState.java:67) at org.springframework.batch.core.job.flow.support.SimpleFlow.resume(SimpleFlow.java:165) at org.springframework.batch.core.job.flow.support.SimpleFlow.start(SimpleFlow.java:144) at org.springframework.batch.core.job.flow.FlowJob.doExecute(FlowJob.java:134) at org.springframework.batch.core.job.AbstractJob.execute(AbstractJob.java:304) at org.springframework.batch.core.launch.support.SimpleJobLauncher$1.run(SimpleJobLauncher.java:135) at org.springframework.core.task.SyncTaskExecutor.execute(SyncTaskExecutor.java:50) at org.springframework.batch.core.launch.support.SimpleJobLauncher.run(SimpleJobLauncher.java:128) at org.springframework.batch.integration.x.RemoteFileToHadoopTests.testSimple(RemoteFileToHadoopTests.java:161) at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) at java.lang.reflect.Method.invoke(Method.java:483) at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:50) at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12) at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:47) at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:17) at org.junit.internal.runners.statements.RunBefores.evaluate(RunBefores.java:26) at org.springframework.test.context.junit4.statements.RunBeforeTestMethodCallbacks.evaluate(RunBeforeTestMethodCallbacks.java:73) at org.junit.internal.runners.statements.RunAfters.evaluate(RunAfters.java:27) at org.springframework.test.context.junit4.statements.RunAfterTestMethodCallbacks.evaluate(RunAfterTestMethodCallbacks.java:82) at org.springframework.test.context.junit4.statements.SpringRepeat.evaluate(SpringRepeat.java:73) at org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:325) at org.springframework.test.context.junit4.SpringJUnit4ClassRunner.runChild(SpringJUnit4ClassRunner.java:217) at org.springframework.test.context.junit4.SpringJUnit4ClassRunner.runChild(SpringJUnit4ClassRunner.java:83) at org.junit.runners.ParentRunner$3.run(ParentRunner.java:290) at org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:71) at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:288) at org.junit.runners.ParentRunner.access$000(ParentRunner.java:58) at org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:268) at org.springframework.test.context.junit4.statements.RunBeforeTestClassCallbacks.evaluate(RunBeforeTestClassCallbacks.java:61) at org.springframework.test.context.junit4.statements.RunAfterTestClassCallbacks.evaluate(RunAfterTestClassCallbacks.java:68) at org.springframework.xd.test.HostNotWindowsRule$1.evaluate(HostNotWindowsRule.java:38) at org.junit.rules.RunRules.evaluate(RunRules.java:20) at org.junit.runners.ParentRunner.run(ParentRunner.java:363) at org.springframework.test.context.junit4.SpringJUnit4ClassRunner.run(SpringJUnit4ClassRunner.java:163) at org.junit.runner.JUnitCore.run(JUnitCore.java:137) at com.intellij.junit4.JUnit4IdeaTestRunner.startRunnerWithArgs(JUnit4IdeaTestRunner.java:74) at com.intellij.rt.execution.junit.JUnitStarter.prepareStreamsAndStart(JUnitStarter.java:211) at com.intellij.rt.execution.junit.JUnitStarter.main(JUnitStarter.java:67) at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) at java.lang.reflect.Method.invoke(Method.java:483) at com.intellij.rt.execution.application.AppMain.main(AppMain.java:134) Caused by: java.lang.IllegalStateException: ThreadPoolTaskExecutor not initialized at org.springframework.util.Assert.state(Assert.java:385) at org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor.getThreadPoolExecutor(ThreadPoolTaskExecutor.java:221) at org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor.execute(ThreadPoolTaskExecutor.java:252) at org.springframework.integration.dispatcher.UnicastingDispatcher.dispatch(UnicastingDispatcher.java:89) at org.springframework.integration.channel.AbstractSubscribableChannel.doSend(AbstractSubscribableChannel.java:77) at org.springframework.integration.channel.AbstractMessageChannel.send(AbstractMessageChannel.java:277) ... 76 more java.lang.AssertionError: Expected :exitCode=COMPLETED;exitDescription= Actual :exitCode=FAILED;exitDescription= <Click to see difference> at org.junit.Assert.fail(Assert.java:88) at org.junit.Assert.failNotEquals(Assert.java:834) at org.junit.Assert.assertEquals(Assert.java:118) at org.junit.Assert.assertEquals(Assert.java:144) at org.springframework.batch.integration.x.RemoteFileToHadoopTests.testSimple(RemoteFileToHadoopTests.java:162) at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:50) at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12) at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:47) at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:17) at org.junit.internal.runners.statements.RunBefores.evaluate(RunBefores.java:26) at org.springframework.test.context.junit4.statements.RunBeforeTestMethodCallbacks.evaluate(RunBeforeTestMethodCallbacks.java:73) at org.junit.internal.runners.statements.RunAfters.evaluate(RunAfters.java:27) at org.springframework.test.context.junit4.statements.RunAfterTestMethodCallbacks.evaluate(RunAfterTestMethodCallbacks.java:82) at org.springframework.test.context.junit4.statements.SpringRepeat.evaluate(SpringRepeat.java:73) at org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:325) at org.springframework.test.context.junit4.SpringJUnit4ClassRunner.runChild(SpringJUnit4ClassRunner.java:217) at org.springframework.test.context.junit4.SpringJUnit4ClassRunner.runChild(SpringJUnit4ClassRunner.java:83) at org.junit.runners.ParentRunner$3.run(ParentRunner.java:290) at org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:71) at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:288) at org.junit.runners.ParentRunner.access$000(ParentRunner.java:58) at org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:268) at org.springframework.test.context.junit4.statements.RunBeforeTestClassCallbacks.evaluate(RunBeforeTestClassCallbacks.java:61) at org.springframework.test.context.junit4.statements.RunAfterTestClassCallbacks.evaluate(RunAfterTestClassCallbacks.java:68) at org.springframework.xd.test.HostNotWindowsRule$1.evaluate(HostNotWindowsRule.java:38) at org.junit.rules.RunRules.evaluate(RunRules.java:20) at org.junit.runners.ParentRunner.run(ParentRunner.java:363) at org.springframework.test.context.junit4.SpringJUnit4ClassRunner.run(SpringJUnit4ClassRunner.java:163) at org.junit.runner.JUnitCore.run(JUnitCore.java:137) at com.intellij.junit4.JUnit4IdeaTestRunner.startRunnerWithArgs(JUnit4IdeaTestRunner.java:74) at com.intellij.rt.execution.junit.JUnitStarter.prepareStreamsAndStart(JUnitStarter.java:211) at com.intellij.rt.execution.junit.JUnitStarter.main(JUnitStarter.java:67) at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) at com.intellij.rt.execution.application.AppMain.main(AppMain.java:134),0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0
ISSUE-1955,Can't use webhdfs with hdfs sink,When using spring.hadoop.fsUri set to webhdfs://localhost/ I'm getting an error: java.lang.NoClassDefFoundError: javax/ws/rs/core/MediaType including the following in xd/lib seems to fix this: - jersey-core-1.9.jar - jersey-server-1.9.jar,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,1,0
ISSUE-2908,Create an easier short-cut for launching adhoc Batch Jobs,"Currently, for adhoc launching of Batch jobs you have to use: stream create --name myTriggerStream --definition """"trigger > job:helloSpringXD"""" For renewed triggering of the job you have to undeploy and then redeploy the job. It would be nice if there was possibly a slightly simpler way of doing this. Just FYI - As a different approach you can also use the HTTP source: job create --name myjob --definition """"myjob"""" stream create --name myjobhttp --definition """"http > job:http"""" http post --data """"{}""""",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ISSUE-2746,Add support for Hortonworks Data Platform 2.0,"(apologies if a ticket already exists for this, but I didn't see one) I spun up the Hortonworks Data Platform 2.0 sandbox, but see it isn't supported by Spring XD yet. How hard would it be to add these Distro's in? Is it just a matter of dropping in a lib folder for hadoop22 and/or hdp20, and allowing those and options to be passed in via the --hadoopDistro option? I'm currently trying to work through the following tutorial, but using the HDP 2.0 sandbox instead of the 1.3 sandbox http://hortonworks.com/hadoop-tutorial/using-spring-xd-to-stream-tweets-to-hadoop-for-sentiment-analysis/ Thanks!",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0
ISSUE-0945,Provide an option for hdfs sink to not use tmp extension,"As a user, I'd like to have an option to have the hdfs sink not use a temporary inUseSuffix like .tmp. Instead we should write using the filename specified directly. This could be useful if we use """"Syncable"""" writes and the sink fails while the file is open. Without this new option the user would have to explicitly rename the file.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISSUE-3110,"Simplify """"instance"""" deployment code","AbstractDeployer has 4 subclasses, 3 of which override e.g. deploy() making the boilerplate factorization ineffective. Introduce an intermediate class for those deployers that support the concept of an instance (Stream, Tap, Job to some extent)",1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,3,0,1,0,1,0
ISSUE-0623,Change in file source breaks backward compatibility,With version 1.2.0 the option ref of the file source was removed and a new option mode was introduced. see XD-2850 and PR https://github.com/spring-projects/spring-xd/pull/1624. This means you have to destroy all streams using the ref option before you do an upgrade. It would have been much better to leave the ref option in the code and emit a deprecation warning if it is still used. This way an upgrade would be possible without interruption.,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,2,0,1,0,1,0
ISSUE-2217,Make transport configuration extensible.,"Change message-bus.xml to read <import resource=""""classpath*:/META-INF/spring-xd/transports/$-bus.xml""""/> So new transports may be configured in external jars",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0
ISSUE-2661,With Partitioned Jobs,"Wire Partitioner and StepExecutionHandlers with the MessageBus"""",",1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,2,2,4,2,1,1,1,1
ISSUE-3656,Create TCP source module,Based off SI tcp inbound adapter. This will allow for event forwarding that can select among the existing SI serialized/deserializer options.,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0
ISSUE-1872,No main manifest attribute in xd-yarn-client jar,"Error deploying to YARN - $ ./spring-xd-1.0.0.BUILD-SNAPSHOT-yarn/bin/xd-yarn push -p spring-xd-1.0.0.BUILD-SNAPSHOT-yarn no main manifest attribute, in spring-xd-1.0.0.BUILD-SNAPSHOT-yarn/lib/spring-xd-yarn-client-1.0.0.BUILD-SNAPSHOT.jar probably related to boot changes",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
